TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
990.1996,-13144.59,-10150.58,1951.12,11406.09,-13403.85,-7603.41,-23848.92,-32884.89
990.2396,-13151.5,-10166.93,1934.1,11483.1,-13266.52,-7548.48,-23833.66,-32893.76
990.2796,-13136.58,-10152.44,1933.77,11456.44,-13228.47,-7544.09,-23804.57,-32887.75
990.3196,-13135.43,-10135.37,1951.89,11289.03,-13548.85,-7706.02,-23825.55,-32887.7
990.3596,-13163.14,-10152.77,1942.63,11306.33,-13652.56,-7732.3,-23869.66,-32901.1
990.3996,-13164.81,-10160.07,1931.95,11403.13,-13418.82,-7621.48,-23864.46,-32901.96
990.4396,-13169.77,-10175.9,1924.13,11482.43,-13276.53,-7561.97,-23849.59,-32910.88
990.4796,-13156.18,-10165.55,1927.61,11451.29,-13234.57,-7557.68,-23824.27,-32905.34
990.5196,-13139.82,-10136.18,1955.8,11290.03,-13547.52,-7707.26,-23830.89,-32890.18
990.5596,-13166.86,-10152.72,1945.92,11310.1,-13653.23,-7731.34,-23867.99,-32900.77
990.5996,-13163.9,-10162.69,1940.25,11406.09,-13414.58,-7616.57,-23859.55,-32898.19
990.6396,-13156.46,-10168.74,1934.58,11485.96,-13263.27,-7546.28,-23834.04,-32894.38
990.6796,-13138.63,-10157.3,1939.3,11456.82,-13218.12,-7536.13,-23800.42,-32882.55
990.7196,-13121.27,-10132.27,1966.38,11299.85,-13523.44,-7681.32,-23803.0,-32864.29
990.7596,-13148.74,-10144.28,1956.51,11316.63,-13630.49,-7709.89,-23842.34,-32876.07
990.7996,-13149.5,-10149.91,1937.91,11409.67,-13398.03,-7604.22,-23839.19,-32878.12
990.8396,-13147.93,-10161.59,1919.7,11491.35,-13248.3,-7541.85,-23817.49,-32881.07
990.8796,-13130.9,-10150.05,1933.72,11462.83,-13204.1,-7533.07,-23789.36,-32871.06
990.9196,-13122.75,-10128.98,1958.8,11293.84,-13517.81,-7683.9,-23802.28,-32862.62
990.9596,-13140.01,-10133.79,1958.8,11311.72,-13620.95,-7704.5,-23836.47,-32866.24
990.9996,-13136.96,-10138.27,1951.31,11403.75,-13390.35,-7589.91,-23833.99,-32866.43
991.0396,-13137.29,-10148.43,1934.58,11478.57,-13250.69,-7527.54,-23821.55,-32874.35
991.0796,-13119.13,-10135.13,1944.26,11450.72,-13205.05,-7516.62,-23793.56,-32866.58
991.1196,-13109.64,-10113.43,1969.77,11281.35,-13516.24,-7670.21,-23807.1,-32859.66
991.1596,-13137.25,-10127.97,1963.28,11295.03,-13633.59,-7702.16,-23850.21,-32872.59
991.1996,-13141.68,-10139.42,1958.7,11389.4,-13405.61,-7599.07,-23851.11,-32879.26
991.2396,-13146.5,-10157.2,1949.84,11468.32,-13262.46,-7542.8,-23836.42,-32889.42
991.2796,-13142.44,-10156.2,1946.78,11438.18,-13221.6,-7545.04,-23815.59,-32892.52
991.3196,-13135.96,-10139.28,1968.24,11276.44,-13534.21,-7699.68,-23824.22,-32879.88
991.3596,-13161.52,-10151.34,1957.8,11295.08,-13653.61,-7731.53,-23865.56,-32890.32
991.3996,-13171.63,-10166.84,1936.15,11393.36,-13424.59,-7628.16,-23868.85,-32900.96
991.4396,-13173.06,-10182.1,1924.8,11479.05,-13279.82,-7566.83,-23850.78,-32907.54
991.4796,-13158.66,-10170.27,1931.81,11458.83,-13230.13,-7558.2,-23822.22,-32902.05
991.5196,-13141.82,-10142.04,1958.7,11299.75,-13534.45,-7703.35,-23828.37,-32889.42
991.5596,-13173.06,-10164.79,1942.01,11313.63,-13660.34,-7740.16,-23874.0,-32904.15
991.5996,-13175.49,-10170.32,1931.1,11413.96,-13423.06,-7631.45,-23873.67,-32909.25
991.6396,-13169.39,-10175.37,1920.08,11495.11,-13273.24,-7563.07,-23853.83,-32912.07
991.6796,-13151.12,-10163.64,1922.04,11471.61,-13217.5,-7549.0,-23821.69,-32901.48
991.7196,-13130.67,-10132.84,1953.17,11303.62,-13519.15,-7693.67,-23825.55,-32884.7
991.7596,-13149.64,-10139.9,1957.94,11315.82,-13638.69,-7720.33,-23857.64,-32886.22
991.7996,-13146.21,-10146.24,1949.45,11416.82,-13393.45,-7601.31,-23842.19,-32877.16
991.8396,-13144.69,-10159.21,1938.96,11494.07,-13244.73,-7536.7,-23816.49,-32877.16
991.8796,-13129.43,-10149.86,1942.59,11465.84,-13190.7,-7521.96,-23783.73,-32867.96
991.9196,-13111.26,-10120.44,1958.56,11297.56,-13486.91,-7663.92,-23786.17,-32850.27
991.9596,-13137.15,-10130.98,1948.79,11302.57,-13612.7,-7698.01,-23825.46,-32857.04
991.9996,-13125.52,-10128.83,1962.9,11407.81,-13367.32,-7572.46,-23812.54,-32846.12
